account_id,in_degree,out_degree,in_value,out_value,pagerank,betweenness
10,0,1,0.0,190.8,7.594380909058501e-06,0.0
17952,8,9,1548.24,3102.84,4.5881385398986525e-05,5.87366767520647e-05
11,0,1,0.0,150.47,7.594380909058501e-06,0.0
14488,5,6,1009.29,2129.88,4.72686328952989e-05,0.00020674736873338716
12,0,1,0.0,128.17,7.594380909058501e-06,0.0
19996,104,100,28763.050000000003,21479.99999999996,0.0006214704834875576,0.01618626009755083
13,1,1,344.17,175.58,1.0217051958488758e-05,2.580165028937312e-06
13677,3,5,567.1500000000001,1009.85,2.281144955327244e-05,1.3806582311554293e-05
14,1,1,307.79,161.83,1.2748584456094062e-05,9.585745348891033e-06
7561,8,8,2040.2000000000003,960.0,6.891755564477332e-05,0.00010926999817728108
15,1,1,170.55,125.05,1.3832433342065054e-05,1.139777827578519e-05
13157,3,5,1082.8000000000002,2122.4,3.0039476950186202e-05,8.8395342862706e-06
16,0,1,0.0,190.97,7.594380909058501e-06,0.0
6905,5,8,1621.1400000000003,3202.7999999999997,3.233956644620948e-05,2.4220516325601996e-05
17,1,1,364.0,198.27,1.4519716318835747e-05,7.79803987725296e-07
17484,6,8,1985.3300000000002,1382.0,4.4341253557979884e-05,6.0924826148510125e-05
18,0,1,0.0,181.02,7.594380909058501e-06,0.0
11116,1,3,181.02,1522.6200000000001,1.404964902304144e-05,0.0
19,1,1,164.22,190.22,1.5776904352338464e-05,8.056939591745132e-06
1045,2,3,346.25,1608.12,2.7566285541837957e-05,0.0033132674210178416
20,1,1,250.07,131.0,2.951316288291265e-05,2.377826046361436e-06
18426,8,11,2575.9,2514.05,6.468296106149933e-05,0.00022774241783896597
21,1,1,335.51,172.97,1.2010774747578781e-05,6.928810887452453e-06
4153,3,5,1285.04,663.85,3.2123140928844384e-05,4.533582466859878e-05
22,1,1,123.69,189.88,1.3035983085741918e-05,6.102871166941645e-07
15491,6,4,1825.02,744.56,4.6392877878459196e-05,1.246689322506024e-05
23,1,1,207.28,168.39,9.824655097461249e-06,1.7020908292723965e-06
4810,5,6,1540.33,3505.1400000000003,3.961890702493755e-05,4.268515104176396e-05
24,1,1,455.75,147.21,1.2964149557899434e-05,1.8524327656454765e-05
868,2,3,741.49,1635.4499999999998,2.372702185111792e-05,2.115854009458714e-08
25,1,1,203.3,110.06,1.286728242520966e-05,3.6742475635728155e-06
9982,57,101,18391.129999999997,38724.67000000006,0.00036698685724158373,0.010902175089609193
26,1,1,498.47,143.41,1.3221377000892667e-05,5.0574557532210947e-08
12096,7,4,1900.1399999999999,498.32,0.0001595558103035975,5.730337057029062e-05
27,0,1,0.0,161.08,7.594380909058501e-06,0.0
19646,15,13,3818.9,4590.82,0.0001048457177727396,0.001312240151806767
28,0,1,0.0,191.3,7.594380909058501e-06,0.0
6384,5,7,1845.55,1106.7,3.293170147829466e-05,8.695539549449026e-05
29,1,1,168.83,196.66,1.0645960937034677e-05,9.269978823194647e-06
9789,21,13,5195.47,3092.8299999999995,0.00013071049567176614,0.0009009609369866158
30,1,1,333.04,147.69,1.0056349285114537e-05,6.925352930959097e-08
7397,8,8,2077.7000000000003,1452.0,4.6299769032851125e-05,6.579453523619933e-05
31,0,1,0.0,186.52,7.594380909058501e-06,0.0
15064,5,6,1443.61,2843.64,3.09185384930212e-05,3.188318541041963e-05
32,1,1,582.9,126.05,3.597488614684139e-05,0.0
19993,115,100,30617.339999999993,36347.479999999974,0.0007108010201021011,0.037741482166297795
33,1,1,170.36,180.5,2.3836415854547978e-05,1.0444028113464494e-06
17200,5,8,1559.25,1449.76,4.980867318597831e-05,3.607486269711771e-05
34,1,1,461.22,154.86,1.3281068282193783e-05,8.342510094437215e-08
8622,8,5,1801.5299999999997,1123.6,5.0274025214984255e-05,0.00014938295576544185
35,1,1,148.66,101.4,1.053657121575322e-05,0.0
12551,4,4,618.84,1544.92,4.357966069006605e-05,2.3479670226782758e-05
36,1,1,268.11,171.97,1.3518381097726386e-05,1.578547400677818e-06
3013,4,2,660.95,1089.34,3.007830423673511e-05,1.3711546160682203e-05
37,1,1,229.39,139.88,1.302421660072472e-05,8.798205583871434e-07
8224,9,10,2435.04,1767.7,0.00010791521948528268,0.00040269201644454236
38,1,1,543.46,182.47,1.2066148129977152e-05,4.1769946482467716e-08
3680,5,5,1381.8600000000001,1358.45,3.564658688357611e-05,0.00018330781431745685
39,0,1,0.0,166.82,7.594380909058501e-06,0.0
17253,8,8,2479.1400000000003,1002.6400000000001,4.743357658728904e-05,0.0004624021365191907
40,1,1,374.88,100.11,1.0274809597277168e-05,0.0
19539,17,18,4333.68,2550.4200000000005,0.00012144960305401404,0.00098327633446884
41,1,1,350.55,149.36,1.133337291226148e-05,7.616810311745215e-07
6608,6,7,1522.17,2485.56,4.2147665865465394e-05,0.00011503895000978172
42,1,1,331.2,186.75,3.361401395716431e-05,1.640980977645325e-06
9903,30,4,8320.259999999998,1192.68,0.00019055786383570728,0.0003094849533169439
43,1,1,105.16,124.38,1.3163914601508538e-05,6.384812852073899e-07
